creature,n_sessions,value_per_kill,min_v,max_v,sample_urls
Glooth Golem,3,276,276,276,https://www.hunt-analyser.com/hunt_sessions/53639|https://www.hunt-analyser.com/hunt_sessions/53639|https://www.hunt-analyser.com/hunt_sessions/53639
Massive Fire Elemental,3,333,333,1804,https://www.hunt-analyser.com/hunt_sessions/53711|https://www.hunt-analyser.com/hunt_sessions/53711|https://www.hunt-analyser.com/hunt_sessions/48650
Midnight Asura,3,853,789,880,https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/52884|https://www.hunt-analyser.com/hunt_sessions/54069
Frost Flower Asura,3,853,789,880,https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/52884|https://www.hunt-analyser.com/hunt_sessions/54069
Guzzlemaw,3,1459,1446,1490,https://www.hunt-analyser.com/hunt_sessions/48935|https://www.hunt-analyser.com/hunt_sessions/51398|https://www.hunt-analyser.com/hunt_sessions/55588
Water Elemental,2,44,44,44,https://www.hunt-analyser.com/hunt_sessions/52773|https://www.hunt-analyser.com/hunt_sessions/52773
Bog Raider,2,78,78,78,https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124
Mutated Tiger,2,78,78,78,https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124
Acid Blob,2,78,78,78,https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124
Exotic Bat,2,234,234,234,https://www.hunt-analyser.com/hunt_sessions/47748|https://www.hunt-analyser.com/hunt_sessions/47748
Exotic Cave Spider,2,234,234,234,https://www.hunt-analyser.com/hunt_sessions/47748|https://www.hunt-analyser.com/hunt_sessions/47748
Pirat Scoundrel,2,234,234,234,https://www.hunt-analyser.com/hunt_sessions/47748|https://www.hunt-analyser.com/hunt_sessions/47748
Pirat Cutthroat,2,234,234,234,https://www.hunt-analyser.com/hunt_sessions/47748|https://www.hunt-analyser.com/hunt_sessions/47748
Hero,2,101,101,101,https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512
Dwarf Henchman,2,101,101,101,https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512
Lich,2,101,101,101,https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512
Mechanical Fighter,2,101,101,101,https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512
Rat,2,101,101,101,https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512
Mad Technomancer,2,101,101,101,https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512
Dark Faun,2,168,168,168,https://www.hunt-analyser.com/hunt_sessions/52356|https://www.hunt-analyser.com/hunt_sessions/52356
Twisted Pooka,2,168,168,168,https://www.hunt-analyser.com/hunt_sessions/52356|https://www.hunt-analyser.com/hunt_sessions/52356
Boogy,2,168,168,168,https://www.hunt-analyser.com/hunt_sessions/52356|https://www.hunt-analyser.com/hunt_sessions/52356
Werewolf,2,271,271,271,https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358
Lost Thrower,2,240,240,240,https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253
Lost Basher,2,240,240,240,https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253
Lost Husher,2,240,240,240,https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253
Wyrm,2,240,240,240,https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253
Drillworm,2,240,240,240,https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253
