hunt_id,slot,name,voc,voc_name,level,supplies,balance_m
45098,1,Kutahr,RP,Royal Paladin,490,-146448,730599
45098,2,Mighty kuba,MS,Master Sorcerer,432,-168806,-166748
45101,1,Kutahr,RP,Royal Paladin,490,-146448,730599
45101,2,Mighty kuba,MS,Master Sorcerer,432,-168806,-166748
45112,1,Cast Quarentena,ED,Elder Druid,1292,-165880,1845374
47295,1,Fae Nya,RP,Royal Paladin,618,-231429,435664
47353,1,Lady Susie,MS,Master Sorcerer,858,-553340,59660
47353,2,Nahvi,ED,Elder Druid,977,-281417,201083
47353,3,Adurus Dran,EK,Elite Knight,984,-653949,5879001
47353,4,Tewan Tyring,RP,Royal Paladin,940,-892182,-764782
47363,1,Lady Susie,MS,Master Sorcerer,858,-640216,1126584
47363,2,Nahvi,ED,Elder Druid,977,-294263,-75813
47363,3,Adurus Dran,EK,Elite Knight,984,-618166,4412634
47363,4,Tewan Tyring,RP,Royal Paladin,940,-863160,-736210
47423,1,Icarouo Egoistao,EK,Elite Knight,1172,-391181,1985338
47433,1,Lady Susie,MS,Master Sorcerer,860,-676042,1411258
47433,2,Nahvi,ED,Elder Druid,980,-300444,-23194
47433,3,Adurus Dran,EK,Elite Knight,986,-721065,4945285
47433,4,Tewan Tyring,RP,Royal Paladin,942,-993538,-941838
47436,1,Lady Susie,MS,Master Sorcerer,860,-608103,925697
47436,2,Nahvi,ED,Elder Druid,980,-279553,113147
47436,3,Adurus Dran,EK,Elite Knight,986,-700784,4447516
47436,4,Tewan Tyring,RP,Royal Paladin,942,-849143,-777093
47458,1,Icarouo Egoistao,EK,Elite Knight,1173,-407608,2847878
47548,1,Lady Susie,MS,Master Sorcerer,866,-647112,1009188
47548,2,Nahvi,ED,Elder Druid,984,-376864,-101814
47548,3,Adurus Dran,EK,Elite Knight,990,-721733,4681317
47548,4,Tewan Tyring,RP,Royal Paladin,948,-984376,-867726
48650,1,Elor Shissere,RP,Royal Paladin,328,-38607,71450
49294,1,Demon Kiira,EK,Elite Knight,652,-905277,901729
49641,1,Tonypepe,RP,Royal Paladin,845,-552829,2555183
50901,1,Guiizerath,EK,Elite Knight,351,-117496,506861
50923,1,Vinicioo tricolor,ED,Elder Druid,474,-74569,252470
50928,1,Vinicioo tricolor,ED,Elder Druid,474,-36492,305579
52228,1,Nickname Provisorio,RP,Royal Paladin,1012,-371485,1594115
6677,1,Reaper Sevens,MS,Master Sorcerer,633,-417549,-397526
6677,2,Bust the werriors,EK,Elite Knight,711,-211845,2591525
6703,1,Wall of Gladera,EK,Elite Knight,632,-280937,727926
6704,1,Wall of Gladera,EK,Elite Knight,632,-333151,930323
7265,1,Wall of Gladera,EK,Elite Knight,640,-312972,856295
