id,spawn,hunt_date,duration,minutes,party_size,party_comp,min_lvl,max_lvl,avg_lvl,xp_h,raw_xp_h,loot_h,balance_h,supplies_total,supplies_known,has_creature_stats,event_flag,url
44520,True asuras,"Mar 07, 2026 08:49",01:02h,62,2,ED 615+EK 613,613,615,614,15963102,5120814,3551956,2981145,589838,1,1,0,https://www.hunt-analyser.com/hunt_sessions/44520
54069,Asura Mirror,"Aug 16, 2026 02:43",00:30h,30,1,RP 682,682,682,682,15911736,8652918,1575462,1280202,147630,1,1,0,https://www.hunt-analyser.com/hunt_sessions/54069
48935,Roshamuul West,"Jun 18, 2026 18:24",01:00h,60,1,RP 491,491,491,491,15774332,7042928,2210388,1795163,415225,1,1,0,https://www.hunt-analyser.com/hunt_sessions/48935
45156,True asuras,"Mar 22, 2026 10:42",01:23h,83,3,ED 629+EK 628+RP 627,627,629,628,15594628,7475196,3816327,3051251,1058354,1,1,0,https://www.hunt-analyser.com/hunt_sessions/45156
54405,Upper Roshamuul,"Aug 19, 2026 05:10",02:00h,120,1,RP 793,793,793,793,15255424,7244838,2433468,1849759,1167418,1,1,0,https://www.hunt-analyser.com/hunt_sessions/54405
49759,True asuras,"Jun 27, 2026 16:30",01:19h,79,2,ED 717+EK 718,717,718,718,15213008,6675341,3561406,3099312,608423,1,1,0,https://www.hunt-analyser.com/hunt_sessions/49759
49568,True asuras,"Jun 25, 2026 18:23",01:03h,63,2,ED 711+EK 713,711,713,712,14857149,6602972,3722503,3330521,411580,1,1,0,https://www.hunt-analyser.com/hunt_sessions/49568
47999,Quara (bestiary),"May 28, 2026 06:51",01:04h,64,1,MS 1200,1200,1200,1200,14827378,8122931,1278075,768807,543219,1,1,0,https://www.hunt-analyser.com/hunt_sessions/47999
49641,Feru way,"Jun 26, 2026 11:53",01:09h,69,1,RP 845,845,845,845,14563213,6472518,2702619,2221898,552829,1,1,0,https://www.hunt-analyser.com/hunt_sessions/49641
44407,True asuras,"Mar 05, 2026 21:55",00:52h,52,2,EK 612+ED 612,612,612,612,14408098,5147589,2906880,2337735,493259,1,1,0,https://www.hunt-analyser.com/hunt_sessions/44407
47295,iks occ (Mitmah Seers),"May 14, 2026 10:40",00:33h,33,1,RP 618,618,618,618,14224529,7225378,1212896,792116,231429,1,1,0,https://www.hunt-analyser.com/hunt_sessions/47295
57477,🔥 Asura Citadel Hunt,"Sep 21, 2026 11:48",01:01h,61,1,EM 921,921,921,921,13930530,9287024,2406143,2392673,13694,1,1,0,https://www.hunt-analyser.com/hunt_sessions/57477
53845,Crypt Warrior,"Aug 14, 2026 01:08",01:00h,60,0,,0,0,0,13899284,4329542,464720,464720,0,0,1,0,https://www.hunt-analyser.com/hunt_sessions/53845
56710,Teste 2 Quara Podizilla,"Sep 12, 2026 16:36",01:04h,64,1,MS 958,958,958,958,13784361,8738120,1452054,1238735,227540,1,1,0,https://www.hunt-analyser.com/hunt_sessions/56710
