creature,n_sessions,value_per_kill,min_v,max_v,sample_urls
Iceplume Strider,25,225,158,414,https://www.hunt-analyser.com/hunt_sessions/56613|https://www.hunt-analyser.com/hunt_sessions/56613|https://www.hunt-analyser.com/hunt_sessions/56613|https://www.hunt-analyser.com/hunt_sessions/56613|https://www.hunt-analyser.com/hunt_sessions/56613
Crypt Warrior,22,59,59,66,https://www.hunt-analyser.com/hunt_sessions/52279|https://www.hunt-analyser.com/hunt_sessions/52279|https://www.hunt-analyser.com/hunt_sessions/52279|https://www.hunt-analyser.com/hunt_sessions/52279|https://www.hunt-analyser.com/hunt_sessions/52279
Necromancer,22,6,6,6,https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560
Giant Spider,22,11,11,15,https://www.hunt-analyser.com/hunt_sessions/52572|https://www.hunt-analyser.com/hunt_sessions/52572|https://www.hunt-analyser.com/hunt_sessions/52572|https://www.hunt-analyser.com/hunt_sessions/52572|https://www.hunt-analyser.com/hunt_sessions/52572
Quara Mantassin,22,7,7,7,https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823
Quara Constrictor,22,7,7,7,https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823
Quara Hydromancer,22,7,7,7,https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823
Quara Pincher,22,7,7,7,https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823
Quara Predator,22,7,7,7,https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823
Nightmare,22,14,14,50,https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124
Wisp,22,14,14,14,https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059
Rabbit,22,14,14,14,https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059
Deer,22,14,14,14,https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059
Cult Believer,22,2,2,2,https://www.hunt-analyser.com/hunt_sessions/53070|https://www.hunt-analyser.com/hunt_sessions/53070|https://www.hunt-analyser.com/hunt_sessions/53070|https://www.hunt-analyser.com/hunt_sessions/53070|https://www.hunt-analyser.com/hunt_sessions/53070
Cult Enforcer,22,2,2,2,https://www.hunt-analyser.com/hunt_sessions/53070|https://www.hunt-analyser.com/hunt_sessions/53070|https://www.hunt-analyser.com/hunt_sessions/53070|https://www.hunt-analyser.com/hunt_sessions/53070|https://www.hunt-analyser.com/hunt_sessions/53070
Cinder Wyrmling,22,90,86,90,https://www.hunt-analyser.com/hunt_sessions/48842|https://www.hunt-analyser.com/hunt_sessions/48842|https://www.hunt-analyser.com/hunt_sessions/48842|https://www.hunt-analyser.com/hunt_sessions/48842|https://www.hunt-analyser.com/hunt_sessions/48842
Shell Drake,22,86,86,90,https://www.hunt-analyser.com/hunt_sessions/48842|https://www.hunt-analyser.com/hunt_sessions/48842|https://www.hunt-analyser.com/hunt_sessions/48842|https://www.hunt-analyser.com/hunt_sessions/48842|https://www.hunt-analyser.com/hunt_sessions/48842
Werefox,22,50,49,50,https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358
Werebear,22,49,49,50,https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358
Werebadger,22,50,49,50,https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358
Wereboar,22,50,49,50,https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358|https://www.hunt-analyser.com/hunt_sessions/50358
Vulcongra,22,60,43,60,https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253
Plaguesmith,22,39,39,61,https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736
Gozzler,22,61,39,61,https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736
Death Blob,21,14,14,161,https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124
Stone Golem,21,18,18,68,https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512
Bat,21,25,25,363,https://www.hunt-analyser.com/hunt_sessions/53399|https://www.hunt-analyser.com/hunt_sessions/53399|https://www.hunt-analyser.com/hunt_sessions/53399|https://www.hunt-analyser.com/hunt_sessions/53399|https://www.hunt-analyser.com/hunt_sessions/53399
Rustheap Golem,21,39,39,39,https://www.hunt-analyser.com/hunt_sessions/53639|https://www.hunt-analyser.com/hunt_sessions/53639|https://www.hunt-analyser.com/hunt_sessions/53639|https://www.hunt-analyser.com/hunt_sessions/53639|https://www.hunt-analyser.com/hunt_sessions/53639
Glooth Golem,21,39,39,39,https://www.hunt-analyser.com/hunt_sessions/53639|https://www.hunt-analyser.com/hunt_sessions/53639|https://www.hunt-analyser.com/hunt_sessions/53639|https://www.hunt-analyser.com/hunt_sessions/53639|https://www.hunt-analyser.com/hunt_sessions/53639
Massive Fire Elemental,21,60,60,180,https://www.hunt-analyser.com/hunt_sessions/53711|https://www.hunt-analyser.com/hunt_sessions/53711|https://www.hunt-analyser.com/hunt_sessions/53711|https://www.hunt-analyser.com/hunt_sessions/53711|https://www.hunt-analyser.com/hunt_sessions/53711
Hyaena,20,138,138,363,https://www.hunt-analyser.com/hunt_sessions/50187|https://www.hunt-analyser.com/hunt_sessions/50187|https://www.hunt-analyser.com/hunt_sessions/50187|https://www.hunt-analyser.com/hunt_sessions/50187|https://www.hunt-analyser.com/hunt_sessions/50187
Vexclaw,20,282,282,294,https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641
Grimeleech,20,294,282,294,https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641
Hellflayer,20,294,282,294,https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/49641
Fire Elemental,20,124,105,124,https://www.hunt-analyser.com/hunt_sessions/50901|https://www.hunt-analyser.com/hunt_sessions/50901|https://www.hunt-analyser.com/hunt_sessions/50901|https://www.hunt-analyser.com/hunt_sessions/50901|https://www.hunt-analyser.com/hunt_sessions/50901
Sight of Surrender,20,149,144,149,https://www.hunt-analyser.com/hunt_sessions/51398|https://www.hunt-analyser.com/hunt_sessions/51398|https://www.hunt-analyser.com/hunt_sessions/51398|https://www.hunt-analyser.com/hunt_sessions/51398|https://www.hunt-analyser.com/hunt_sessions/51398
Clay Guardian,18,68,68,126,https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555
Omnivora,18,68,68,126,https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555
Water Elemental,11,8,8,8,https://www.hunt-analyser.com/hunt_sessions/52773|https://www.hunt-analyser.com/hunt_sessions/52773|https://www.hunt-analyser.com/hunt_sessions/52773|https://www.hunt-analyser.com/hunt_sessions/52773|https://www.hunt-analyser.com/hunt_sessions/52773
