hunt_id,slot,name,voc,voc_name,level,supplies,balance_m
51793,1,Nanesi,MS,Master Sorcerer,290,-124963,286066
52064,1,Kenddora,ED,Elder Druid,242,-185475,339437
52082,1,Torvyn,EK,Elite Knight,262,-31696,112284
52736,1,Torvyn,EK,Elite Knight,267,-42662,104080
53077,1,Khamigah,RP,Royal Paladin,223,-185368,42553
53078,1,Torvyn,EK,Elite Knight,270,-91676,131154
53187,1,Sauron Emo,EK,Elite Knight,265,-78322,167980
53326,1,Torvyn,EK,Elite Knight,270,-65848,72860
53327,1,Torvyn,EK,Elite Knight,270,-26374,110115
53352,1,Torvyn,EK,Elite Knight,271,-24620,94853
53399,1,Elder Nobeki,ED,Elder Druid,229,-28744,130106
53434,1,Torvyn,EK,Elite Knight,273,-50556,163778
53639,1,Sauron Emo,EK,Elite Knight,270,-54097,373457
53711,1,Torvyn,EK,Elite Knight,276,-19516,224332
53745,1,Torvyn,EK,Elite Knight,279,-105760,167481
57588,1,Tiborlager,RP,Royal Paladin,266,-309978,390482
15712,1,Guerreiro de Xango,EK,Elite Knight,211,-273001,424951
15712,2,Bombita Belica Uno,ED,Elder Druid,234,-267850,-260620
27422,1,Lorehald Night Magic,ED,Elder Druid,145,-102641,-95846
27422,2,Arkainne,RP,Royal Paladin,148,-63890,64435
28760,1,Sile Exale,EM,Exalted Monk,70,-77390,-73106
28760,2,Krol Arogancji,EK,Elite Knight,92,-77476,-6876
28862,1,Sile Exale,EM,Exalted Monk,79,-167994,-167822
28862,2,Krol Arogancji,EK,Elite Knight,98,-154077,-23800
29403,1,Bonk Lee,EM,Exalted Monk,178,-333745,-8492
29403,2,Alaju acvar,MS,Master Sorcerer,135,-284120,-282023
29650,1,Rezo Senpai,EM,Exalted Monk,81,-86656,-67512
29650,2,Latexity,EK,Elite Knight,68,-70662,-7842
29958,1,Tranquillino Calmitto,EM,Exalted Monk,174,-188857,-127204
29958,2,Nightbritish,EK,Elite Knight,176,-176570,383175
30098,1,Tranquillino Calmitto,EM,Exalted Monk,179,-180032,-177537
30098,2,Nightbritish,EK,Elite Knight,185,-97035,361225
30100,1,Tranquillino Calmitto,EM,Exalted Monk,179,-173115,-170520
30100,2,Nightbritish,EK,Elite Knight,185,-99005,248920
30102,1,Tranquillino Calmitto,EM,Exalted Monk,179,-125912,-125850
30102,2,Nightbritish,EK,Elite Knight,185,-86580,229793
30187,1,Tranquillino Calmitto,EM,Exalted Monk,188,-221654,-215105
30187,2,Nightbritish,EK,Elite Knight,191,-146611,383063
30238,1,Tranquillino Calmitto,EM,Exalted Monk,194,-207488,-193841
30238,2,Nightbritish,EK,Elite Knight,197,-139312,385854
30341,1,Speak the Truth,EK,Elite Knight,272,-128262,289165
30341,2,Craziee,RP,Royal Paladin,238,-160058,-109406
30509,1,Tranquillino Calmitto,EM,Exalted Monk,213,-371072,-370034
30509,2,Babii Bloom,EK,Elite Knight,234,-344954,698951
30584,1,Tranquillino Calmitto,EM,Exalted Monk,218,-466397,-444654
30584,2,Nightbritish,EK,Elite Knight,212,-284973,1063684
30601,1,Tranquillino Calmitto,EM,Exalted Monk,221,-309813,-297513
30601,2,Babii Bloom,EK,Elite Knight,236,-317349,867956
30631,1,Tranquillino Calmitto,EM,Exalted Monk,223,-258532,-238560
30631,2,Nightbritish,EK,Elite Knight,217,-149088,557890
37309,1,Axes of Venebra,EK,Elite Knight,220,-300742,146814
37309,2,Tio siodinho,EM,Exalted Monk,161,-300899,293183
40102,1,Sumw,EK,Elite Knight,225,-426301,596433
40102,2,Skra Firadixo,ED,Elder Druid,227,-623263,-617478
40339,1,Kattox,RP,Royal Paladin,55,-1280934,-700688
40339,2,Mega Panther,MS,Master Sorcerer,56,-1473325,-1360925
41127,1,Aley Gwen,EK,Elite Knight,253,-330470,1087686
41127,2,Squirrobby,EM,Exalted Monk,274,-520687,-339098
46448,1,Alzaher,ED,Elder Druid,296,-289741,-197149
46448,2,Koot Spirit,EK,Elite Knight,231,-203272,916074
46748,1,Frostituto,ED,Elder Druid,165,-60312,-40057
46748,2,Wuukas,EM,Exalted Monk,167,-103797,30755
4921,1,Cigaro Druid,ED,Elder Druid,206,-167320,-167320
4921,2,Khaia Galawyn,EK,Elite Knight,208,-75998,194760
4922,1,Cigaro Druid,ED,Elder Druid,206,-167320,-167320
4922,2,Khaia Galawyn,EK,Elite Knight,208,-75998,194760
51574,1,Herus Cael,EK,Elite Knight,298,-166434,270716
51574,2,Rinoa Heatilly,ED,Elder Druid,198,-110388,-108288
51722,1,Herus Cael,EK,Elite Knight,300,-226493,534188
51722,2,Rinoa Heatilly,ED,Elder Druid,199,-282042,-264422
28101,1,Tril Roon,MS,Master Sorcerer,178,-109568,-77421
45762,1,New Niel,ED,Elder Druid,357,-41202,120417
45875,1,Gosil,ED,Elder Druid,1358,-408895,830289
45875,2,Galba,EM,Exalted Monk,1177,-555703,697964
4611,1,Captain Draja,RP,Royal Paladin,1252,-546033,973370
4611,2,Katzwinckel,ED,Elder Druid,1419,-386841,319111
47999,1,Hardstyle Jogaliso,MS,Master Sorcerer,1200,-543219,820061
4839,1,Katzwinckel,ED,Elder Druid,1418,-1161081,1364932
4839,2,Captain Draja,RP,Royal Paladin,1256,-925934,1321237
50905,1,Torvyn,EK,Elite Knight,258,-28511,137106
52823,1,Silversparrow,EM,Exalted Monk,90,-18468,5960
53434,1,Torvyn,EK,Elite Knight,273,-50556,163778
55738,1,Swedo Of Lua,MS,Master Sorcerer,901,-337981,3824947
56517,1,Melin Slowmotion,MS,Master Sorcerer,1086,-422,2611760
56645,1,Melin Slowmotion,MS,Master Sorcerer,1086,-1199,2783601
56657,1,Melin Slowmotion,MS,Master Sorcerer,1086,-52138,2206212
56670,1,Tryark,MS,Master Sorcerer,957,-112184,1355766
56710,1,Tryark,MS,Master Sorcerer,958,-227540,1321318
56743,1,Swedo Of Lua,MS,Master Sorcerer,908,-65668,3213015
56841,1,Swedo Of Lua,MS,Master Sorcerer,909,-880210,4816041
56931,1,Swedo Of Lua,MS,Master Sorcerer,910,-150530,4722612
57028,1,Swedo Of Lua,MS,Master Sorcerer,912,-76664,4541917
57171,1,Swedo Of Lua,MS,Master Sorcerer,913,-165020,4677681
57305,1,Swedo Of Lua,MS,Master Sorcerer,914,-85715,2311108
57344,1,Swedo Of Lua,MS,Master Sorcerer,915,-58193,3980293
57404,1,Swedo Of Lua,MS,Master Sorcerer,916,-113748,5224681
57551,1,Swedo Of Lua,MS,Master Sorcerer,917,-55878,5148521
57871,1,Swedo Of Lua,MS,Master Sorcerer,919,-41268,2234927
8488,1,Warenxxlegend,ED,Elder Druid,1182,-201581,1257199
1295,1,Shubak,ED,Elder Druid,479,-226609,26791
1295,2,Patow Pantaneiro,RP,Royal Paladin,485,-155107,512041
29965,1,Tranquillino Calmitto,EM,Exalted Monk,176,-420760,354870
30149,1,Tranquillino Calmitto,EM,Exalted Monk,183,-139730,104888
32806,1,Tino Mas San,RP,Royal Paladin,279,-150184,201799
33345,1,Mana Express,ED,Elder Druid,218,-147365,182292
37817,1,Luz Impiedosa,MS,Master Sorcerer,371,-109535,453395
39992,1,Itz Cuproza,RP,Royal Paladin,165,-167420,11390
43530,1,Rey Binotus,MS,Master Sorcerer,387,-57759,454849
43559,1,Detektyw Monkers,EM,Exalted Monk,201,-258390,24439
43565,1,Galadino,RP,Royal Paladin,214,-682634,334593
43574,1,Rey Binotus,MS,Master Sorcerer,387,-79378,390779
43679,1,Galadino,RP,Royal Paladin,218,-284231,193884
43708,1,Galadino,RP,Royal Paladin,221,-283921,256294
43805,1,Galadino,RP,Royal Paladin,223,-294832,214745
43806,1,Galadino,RP,Royal Paladin,223,-305736,202082
44274,1,Galadino,RP,Royal Paladin,243,-294461,344032
44526,1,Galadino,RP,Royal Paladin,256,-470294,590851
44735,1,Galadino,RP,Royal Paladin,267,-1191602,1137440
44744,1,Galadino,RP,Royal Paladin,270,-395074,404307
44827,1,Galadino,RP,Royal Paladin,273,-940379,1802748
45096,1,Aegidavex Darok,EK,Elite Knight,245,-273774,213796
45119,1,Aegidavex Darok,EK,Elite Knight,245,-220412,212486
51793,1,Nanesi,MS,Master Sorcerer,290,-124963,286066
11823,1,Pexe Executivo Travaguerra,ED,Elder Druid,305,-295990,10406
11823,2,Vona,RP,Royal Paladin,291,-533720,707887
12503,1,Shadow Of Terro,EK,Elite Knight,595,-99523,858128
15520,1,Pedrinho Quase Alfabetisado,RP,Royal Paladin,402,-488000,368735
33109,1,Fae Nya,RP,Royal Paladin,412,-107539,160311
33170,1,Undead Drago Beer,EK,Elite Knight,359,-320691,807923
33509,1,Undead Drago Beer,EK,Elite Knight,369,-243050,740439
33617,1,Undead Drago Beer,EK,Elite Knight,372,-276248,785736
33636,1,Undead Drago Beer,EK,Elite Knight,372,-171738,643562
33988,1,Fae Nya,RP,Royal Paladin,424,-123664,108231
33989,1,Fae Nya,RP,Royal Paladin,424,-135896,119660
34585,1,Undead Drago Beer,EK,Elite Knight,408,-101165,1011925
34658,1,Undead Drago Beer,EK,Elite Knight,410,-123992,1036769
35893,1,Nufrevi,RP,Royal Paladin,489,-358475,541105
35937,1,Undead Drago Beer,EK,Elite Knight,447,-137357,1101073
35970,1,Nufrevi,RP,Royal Paladin,491,-356090,711765
36103,1,Castlez,EK,Elite Knight,399,-361032,433213
36546,1,Wulfgar,EK,Elite Knight,480,-73570,1108070
36594,1,Wulfgar,EK,Elite Knight,480,-60024,1089718
38528,1,Fae Nya,RP,Royal Paladin,466,-132588,368045
38529,1,Fae Nya,RP,Royal Paladin,466,-273852,784748
40686,1,Fae Nya,RP,Royal Paladin,503,-375535,764994
40876,1,Fae Nya,RP,Royal Paladin,507,-353242,910587
40878,1,Fae Nya,RP,Royal Paladin,507,-413039,968033
41821,1,Fae Nya,RP,Royal Paladin,527,-205594,446191
44388,1,Elite Kidler,EK,Elite Knight,360,-577454,550885
46417,1,Fae Nya,RP,Royal Paladin,603,-171901,460280
46816,1,Nathural,ED,Elder Druid,270,-109739,-92724
46816,2,Zin the Dark Lamb,MS,Master Sorcerer,295,-84612,88382
46816,3,Don Lordas Knight,EK,Elite Knight,306,-73702,393584
46817,1,Nathural,ED,Elder Druid,270,-109739,-92724
46817,2,Zin the Dark Lamb,MS,Master Sorcerer,295,-84612,88382
46817,3,Don Lordas Knight,EK,Elite Knight,306,-73702,393584
48337,1,Fae Nya,RP,Royal Paladin,634,-164317,571420
49850,1,Elor Shissere,RP,Royal Paladin,334,-86360,21923
49922,1,Zopijo,ED,Elder Druid,545,-64964,579117
51711,1,Lhaumas,MS,Master Sorcerer,494,-117344,638803
54319,1,Fae Nya,RP,Royal Paladin,683,-101239,720091
6290,1,Noisy Dream,ED,Elder Druid,438,-458252,-388719
6290,2,Tankek,EK,Elite Knight,326,-492777,1992945
27309,1,Nevass Soldo,RP,Royal Paladin,856,-203340,632031
31446,1,Itz Elvenoss,EK,Elite Knight,718,-175164,629290
34112,1,Fae Nya,RP,Royal Paladin,425,-268273,99707
34128,1,Fae Nya,RP,Royal Paladin,425,-106648,52192
34207,1,Fae Nya,RP,Royal Paladin,426,-253831,168129
34283,1,Fae Nya,RP,Royal Paladin,426,-254118,103942
36047,1,Fae Nya,RP,Royal Paladin,439,-216993,274897
37087,1,Fae Nya,RP,Royal Paladin,448,-262582,208948
37667,1,Fae Nya,RP,Royal Paladin,455,-240717,207813
37717,1,Fae Nya,RP,Royal Paladin,456,-235648,206409
37740,1,Fae Nya,RP,Royal Paladin,456,-290668,279106
37749,1,Fae Nya,RP,Royal Paladin,456,-342896,338444
385,1,Sekcyyyjny,MS,Master Sorcerer,616,-161325,-134125
385,2,Busy Hands,RP,Royal Paladin,541,-224493,1058067
38803,1,Fae Nya,RP,Royal Paladin,470,-527736,479227
38815,1,Fae Nya,RP,Royal Paladin,470,-329012,283144
39100,1,Fae Nya,RP,Royal Paladin,473,-567196,623952
39145,1,Fae Nya,RP,Royal Paladin,474,-252664,247703
39442,1,Fae Nya,RP,Royal Paladin,480,-302782,207395
39560,1,Fae Nya,RP,Royal Paladin,482,-510823,416136
40528,1,Fae Nya,RP,Royal Paladin,501,-717646,653776
41079,1,Escanor Palmstrike,EM,Exalted Monk,465,-584464,649252
42996,1,Fae Nya,RP,Royal Paladin,545,-418194,601819
43539,1,Fae Nya,RP,Royal Paladin,556,-445097,603575
43942,1,Fae Nya,RP,Royal Paladin,563,-360430,772296
45290,1,Knockinon Heavens Door,ED,Elder Druid,477,-71812,503908
45290,2,Evaya Mitrago,RP,Royal Paladin,417,-324140,438710
45418,1,Fae Nya,RP,Royal Paladin,587,-486852,940650
45624,1,Fae Nya,RP,Royal Paladin,589,-488977,1067843
46909,1,Beergamota,EM,Exalted Monk,350,-201028,324016
47094,1,Luke Lejnamur,EM,Exalted Monk,318,-670364,218880
47643,1,Fae Nya,RP,Royal Paladin,621,-262354,663851
48495,1,Nufrevi,RP,Royal Paladin,557,-472166,586194
4882,1,Trickz Da Tank,EK,Elite Knight,541,-476697,1045741
52653,1,Lhaumas,MS,Master Sorcerer,508,-61494,825193
52720,1,Fae Nya,RP,Royal Paladin,674,-218578,824284
6292,1,Noisy Dream,ED,Elder Druid,439,-458252,-388719
6292,2,Tankek,EK,Elite Knight,328,-492777,1992945
9146,1,Alex en Fortera,EK,Elite Knight,588,-372144,743658
30650,1,Blu Yei,EK,Elite Knight,488,-521688,1031049
30699,1,Blu Yei,EK,Elite Knight,490,-588236,1019608
30729,1,Blu Yei,EK,Elite Knight,493,-546538,815480
30754,1,Blu Yei,EK,Elite Knight,495,-240742,499430
30821,1,Blu Yei,EK,Elite Knight,496,-530234,660320
30829,1,Blu Yei,EK,Elite Knight,498,-243888,567852
31478,1,Blu Yei,EK,Elite Knight,501,-244158,593077
31581,1,Blu Yei,EK,Elite Knight,503,-248628,501199
31728,1,Blu Yei,EK,Elite Knight,505,-169998,416298
31729,1,Blu Yei,EK,Elite Knight,506,-421364,672666
31917,1,Blu Yei,EK,Elite Knight,509,-733828,1435658
31986,1,Blu Yei,EK,Elite Knight,513,-325366,520738
32119,1,Blu Yei,EK,Elite Knight,514,-501084,813324
33141,1,Blu Yei,EK,Elite Knight,527,-161630,265236
33346,1,Blu Yei,EK,Elite Knight,528,-132258,255033
33524,1,Blu Yei,EK,Elite Knight,528,-252944,355224
33637,1,Blu Yei,EK,Elite Knight,529,-103540,228481
33640,1,Blu Yei,EK,Elite Knight,529,-211162,415462
33851,1,Blu Yei,EK,Elite Knight,531,-236310,539050
34236,1,Blu Yei,EK,Elite Knight,534,-316768,655892
34308,1,Blu Yei,EK,Elite Knight,536,-468176,986871
34346,1,Blu Yei,EK,Elite Knight,539,-381578,963954
34410,1,Blu Yei,EK,Elite Knight,544,-265401,463783
34682,1,Blu Yei,EK,Elite Knight,545,-1175993,-382323
34893,1,Fae Nya,RP,Royal Paladin,432,-195899,151091
36992,1,Tryark,MS,Master Sorcerer,630,-164113,839651
37719,1,Capybara Curadora,ED,Elder Druid,315,-212394,-64780
37719,2,Eaton Loyoust,EK,Elite Knight,368,-150377,624576
38498,1,Blu Yei,EK,Elite Knight,549,-179492,393221
38628,1,Blu Yei,EK,Elite Knight,550,-213176,591874
38726,1,Blu Yei,EK,Elite Knight,551,-76530,162020
38802,1,Blu Yei,EK,Elite Knight,552,-48546,151574
40102,1,Sumw,EK,Elite Knight,225,-426301,596433
40102,2,Skra Firadixo,ED,Elder Druid,227,-623263,-617478
41046,1,Ser Incognito,EK,Elite Knight,434,-165806,310019
43487,1,Druida Biel,ED,Elder Druid,196,-415217,-415217
43487,2,Rommin,EM,Exalted Monk,178,-243576,329743
43487,3,Chiles en Vinagre,EK,Elite Knight,178,-156618,13279
43629,1,Druida Biel,ED,Elder Druid,203,-387224,-379255
43629,2,Rommin,EM,Exalted Monk,185,-200696,155605
43629,3,Chiles en Vinagre,EK,Elite Knight,187,-155760,273863
43747,1,Druida Biel,ED,Elder Druid,213,-746949,-744249
43747,2,Rommin,EM,Exalted Monk,194,-599580,646477
43747,3,Lamr Nari Drakkarina,MS,Master Sorcerer,271,-128974,-122510
43747,4,Chiles en Vinagre,EK,Elite Knight,199,-216261,793108
43825,1,Druida Biel,ED,Elder Druid,216,-684195,-679205
43825,2,Rommin,EM,Exalted Monk,197,-498926,444691
43825,3,Chiles en Vinagre,EK,Elite Knight,203,-215825,432182
43825,4,Erripe Marombeiro,RP,Royal Paladin,184,-132429,-131756
44366,1,Arvayis,ED,Elder Druid,326,-157010,644290
47140,1,Fae Nya,RP,Royal Paladin,617,-168692,593862
48262,1,Futakuchi Mana,ED,Elder Druid,200,-204709,-186829
48262,2,Gandalf Rzulty,MS,Master Sorcerer,171,-61138,-61138
48262,3,Zlezamiary,EK,Elite Knight,205,-125938,384447
48828,1,Fae Nya,RP,Royal Paladin,641,-48167,147698
49530,1,Nufrevi,RP,Royal Paladin,562,-254712,661515
50335,1,Fae Nya,RP,Royal Paladin,656,-81436,390667
50336,1,Fae Nya,RP,Royal Paladin,657,-88228,273211
50735,1,Nufrevi,RP,Royal Paladin,567,-345427,639575
50796,1,Fae Nya,RP,Royal Paladin,661,-120046,938758
51201,1,Fae Nya,RP,Royal Paladin,665,-118434,646418
51391,1,Fae Nya,RP,Royal Paladin,665,-168513,1185844
52068,1,Fae Nya,RP,Royal Paladin,672,-95297,1015372
53031,1,Fae Nya,RP,Royal Paladin,676,-123064,441090
53132,1,Bran co,MS,Master Sorcerer,327,-45384,181650
53617,1,Nufrevi,RP,Royal Paladin,575,-368913,78019
1109,1,Gosal,EK,Elite Knight,127,-79985,-42890
24692,1,Ed Reiss,ED,Elder Druid,95,-54593,192348
27989,1,Rabbit Man,EK,Elite Knight,270,-184970,1721485
28760,1,Sile Exale,EM,Exalted Monk,70,-77390,-73106
28760,2,Krol Arogancji,EK,Elite Knight,92,-77476,-6876
28862,1,Sile Exale,EM,Exalted Monk,79,-167994,-167822
28862,2,Krol Arogancji,EK,Elite Knight,98,-154077,-23800
36498,1,Beat The Ghost,EK,Elite Knight,406,-147318,867892
44399,1,Knockinon Heavens Door,ED,Elder Druid,446,-23476,-10576
7709,1,Sir Magolords,MS,Master Sorcerer,52,-48607,142027
7885,1,Sir Magolords,MS,Master Sorcerer,54,-97118,382630
7991,1,Sir Magolords,MS,Master Sorcerer,61,-51238,157826
8019,1,Sir Magolords,MS,Master Sorcerer,62,-124645,346772
8063,1,Sir Magolords,MS,Master Sorcerer,65,-58372,211486
8446,1,Pirangueirom,EK,Elite Knight,127,-86715,-3200
40531,1,Frodo Rodolfo,ED,Elder Druid,153,-166594,-53625
41129,1,Klaifiso,ED,Elder Druid,117,-8520,-2228
53032,1,Lizard Racoon,MS,Master Sorcerer,913,-1209493,-1203443
53032,2,Itz Edu,ED,Elder Druid,866,-895889,-893989
53032,3,Monksino,EM,Exalted Monk,766,-621519,1806481
53032,4,Itz Jordnn,EK,Elite Knight,839,-572206,5490294
31796,1,Nukik,RP,Royal Paladin,208,-113026,27173
34294,1,Nahvi,ED,Elder Druid,645,-59392,575867
52059,1,Senn Brieria,RP,Royal Paladin,169,-26066,348778
