hunt_id,creature,killed
42631,Glooth Bandit,84
42631,Glooth Brigand,76
42658,Exotic Bat,573
42658,Exotic Cave Spider,226
42658,Pirat Cutthroat,2
43200,Demon,61
43200,Massive Fire Elemental,16
43200,Dark Apprentice,5
43200,Dark Magician,1
43559,Werehyaena,373
43559,Werehyaena Shaman,148
43559,Lich,1
43565,Werehyaena,878
43565,Werehyaena Shaman,531
43631,Demon,28
43631,Massive Fire Elemental,7
43679,Werehyaena,414
43679,Werehyaena Shaman,243
43708,Werehyaena,459
43708,Werehyaena Shaman,261
43805,Werehyaena,495
43805,Werehyaena Shaman,266
43806,Werehyaena,467
43806,Werehyaena Shaman,238
44274,Werehyaena,625
44274,Werehyaena Shaman,354
44304,Exotic Bat,254
44304,Exotic Cave Spider,111
44526,Werehyaena,848
44526,Werehyaena Shaman,422
44735,Werehyaena,2431
44735,Werehyaena Shaman,935
44744,Werehyaena,909
44744,Werehyaena Shaman,340
44827,Werehyaena,2264
44827,Werehyaena Shaman,932
44971,Minotaur Cult Follower,595
44971,Minotaur Cult Prophet,250
44971,Minotaur Cult Zealot,149
44971,Pig,3
45096,Werehyaena,383
45096,Werehyaena Shaman,155
45119,Werehyaena,349
45119,Werehyaena Shaman,132
45119,Lich,1
45415,Minotaur Cult Follower,228
45415,Minotaur Cult Prophet,104
45415,Minotaur Cult Zealot,67
45417,Minotaur Cult Follower,339
45417,Minotaur Cult Prophet,160
45417,Minotaur Cult Zealot,100
45417,Pig,2
45419,Minotaur Cult Follower,367
45419,Minotaur Cult Prophet,164
45419,Minotaur Cult Zealot,112
45419,Pig,1
45449,Grim Reaper,1072
45449,Nightmare,57
45449,Nightmare Scion,39
48842,Cinder Wyrmling,573
48842,Shell Drake,439
48885,Cinder Wyrmling,1121
48885,Shell Drake,870
48969,Ravenous Lava Lurker,191
49093,Ravenous Lava Lurker,184
49093,Dromedary,1
50312,Hawk Hopper,175
50312,Bramble Wyrmling,132
50318,Grim Reaper,477
50358,Werewolf,149
50358,Werefox,140
50358,Werebear,139
50358,Werebadger,139
50358,Wereboar,122
50364,Grim Reaper,265
50574,Grim Reaper,919
50574,Nightmare,7
50574,Nightmare Scion,6
50582,Werehyaena,514
50582,Werehyaena Shaman,216
50607,Burster Spectre,165
50905,Rot Elemental,209
50905,Glooth Blob,208
50905,Blood Beast,155
50905,Devourer,139
51253,Lost Thrower,134
51253,Lost Basher,128
51253,Lost Husher,117
51253,Wyrm,99
51253,Vulcongra,99
51253,Drillworm,75
51253,Behemoth,66
51253,Dragon Lord,40
51253,Enslaved Dwarf,35
51253,Nightmare Scion,5
51793,Werehyaena,393
51793,Werehyaena Shaman,230
52064,Lion Hydra,392
52064,Bluebeak,365
52082,Behemoth,126
52082,Cyclops Drone,60
52082,Cyclops Smith,34
52082,Dwarf Soldier,18
52082,Cyclops,18
52082,Dragon,6
52736,Hellspawn,187
52736,Plaguesmith,22
52736,Gozzler,8
53077,Werehyaena,237
53077,Werehyaena Shaman,126
53078,Grim Reaper,368
53187,Serpent Spawn,116
53187,Behemoth,113
53187,Medusa,78
53187,Omnivora,70
53187,Clay Guardian,62
53187,Gargoyle,3
53187,Gorga,3
53187,Stone Golem,2
53326,Hellspawn,269
53326,Plaguesmith,49
53326,Gozzler,2
53327,Young Sea Serpent,327
53327,Sea Serpent,265
53352,Werefox,88
53352,Werebadger,69
53352,Wereboar,44
53352,Werebear,13
53352,Bloodback,1
53399,Stonerefiner,522
53399,Tarantula,13
53399,Bat,10
53399,Corym Charlatan,7
53399,Snake,4
53399,Marsh Stalker,4
53399,Feverish Citizen,4
53399,Corym Skirmisher,4
53399,Swampling,2
53434,Rot Elemental,373
53434,Glooth Blob,348
53434,Devourer,163
53434,Blood Beast,110
53639,Rustheap Golem,174
53639,Glooth Golem,142
53639,Devourer,111
53639,Rot Elemental,78
53639,Quara Hydromancer Scout,3
53639,Quara Constrictor Scout,3
53639,Quara Predator Scout,2
53639,Quara Pincher Scout,2
53639,Blood Beast,1
53711,Vulcongra,178
53711,Massive Fire Elemental,118
53711,Dragon Lord,70
53745,Grim Reaper,520
15712,Burster Spectre,784
15712,Wasp,7
27422,Vicious Squire,226
27422,Hero,206
27422,Renegade Knight,180
27422,Vile Grandmaster,131
27422,Undead Gladiator,79
27422,Blood Priest,46
27422,Bonebeast,19
27422,Necromancer,13
27422,Lich,13
28760,Cult Believer,253
28760,Renegade Knight,131
28760,Vicious Squire,113
28760,Vile Grandmaster,46
28760,Cult Enforcer,15
28862,Cult Believer,337
28862,Vicious Squire,215
28862,Renegade Knight,215
28862,Vile Grandmaster,98
28862,Cult Enforcer,89
28862,Ancient Scarab,14
28862,Roaring Lion,3
29403,Serpent Spawn,222
29403,Behemoth,189
29403,Omnivora,151
29403,Clay Guardian,143
29403,Medusa,127
29403,Stone Golem,33
29403,Gargoyle,25
29403,Slime,5
29650,Cult Believer,311
29650,Renegade Knight,208
29650,Vicious Squire,160
29650,Vile Grandmaster,64
29958,Serpent Spawn,242
29958,Behemoth,221
29958,Omnivora,214
29958,Medusa,194
29958,Clay Guardian,132
29958,Werehyaena,81
29958,Werehyaena Shaman,29
29958,Gargoyle,18
29958,Stone Golem,6
29958,Slime,2
30098,Midnight Asura,145
30098,Dawnfire Asura,131
30098,Hellspawn,128
30098,Frost Flower Asura,70
30098,Cave Hydra,15
30098,Nomad,1
30098,Hyaena,1
30100,Midnight Asura,129
30100,Dawnfire Asura,117
30100,Hellspawn,115
30100,Frost Flower Asura,67
30100,Cave Hydra,21
30102,Midnight Asura,122
30102,Dawnfire Asura,111
30102,Hellspawn,107
30102,Frost Flower Asura,62
30102,Cave Hydra,24
30187,Midnight Asura,185
30187,Hellspawn,175
30187,Dawnfire Asura,169
30187,Frost Flower Asura,95
30187,Cave Hydra,30
30187,Vicious Lich,4
30187,Greater Fire Elemental,4
30187,Vile Destroyer,2
30187,Greater Energy Elemental,2
30187,The Flaming Orchid,2
30187,Wasp,1
30187,Solitary Frost Dragon,1
30238,Midnight Asura,208
30238,Hellspawn,198
30238,Dawnfire Asura,187
30238,Frost Flower Asura,108
30238,Cave Hydra,42
30238,Wasp,1
30238,Hyaena,1
30341,Souleater,183
30341,Medusa,144
30341,Eternal Guardian,143
30341,Serpent Spawn,113
30341,Hydra,76
30341,Bonebeast,21
30341,Ice Golem,7
30341,Acid Blob,6
30341,Elder Bonelord,5
30341,Giant Spider,3
30341,Frost Dragon,3
30341,Centipede,2
30341,Hellspawn,2
30341,Nightmare,2
30341,Water Elemental,2
30341,Ghastly Dragon,1
30341,Phantasm,1
30509,Burster Spectre,761
30584,Midnight Asura,473
30584,Hellspawn,438
30584,Dawnfire Asura,430
30584,Frost Flower Asura,249
30584,Cave Hydra,90
30584,Nomad,1
30601,Gazer Spectre,881
30601,Thanatursus,120
30631,Midnight Asura,258
30631,Dawnfire Asura,231
30631,Hellspawn,224
30631,Frost Flower Asura,133
30631,Cave Hydra,48
37309,Gazer Spectre,720
37309,Thanatursus,98
40102,Burster Spectre,984
40339,Darklight Striker,672
40339,Darklight Matter,475
40339,Walking Pillar,367
40339,Darklight Source,331
40339,Scorpion,2
40339,Ghoul,1
40339,Zombie,1
41127,Burster Spectre,1624
41127,Mummy,26
41127,Lion,1
46448,Burster Spectre,349
46448,Arachnophobica,305
46448,Gazer Spectre,164
46448,Ripper Spectre,43
46748,Wyrm,250
46748,Elder Wyrm,84
46748,Scorpion,28
46748,Demon Skeleton,17
46748,Ghoul,14
46748,Skeleton,11
46748,Necromancer,11
46748,Bat,7
46748,Skeleton Warrior,6
46748,Tarnished Spirit,5
46748,Snake,5
46748,Nomad,5
46748,Mummy,5
46748,Vampire,4
46748,Ghost,4
46748,Priestess,3
46748,Rat,3
46748,Stalker,2
46748,Zombie,2
46748,Shadow Pupil,1
46748,Blood Hand,1
4921,Burster Spectre,304
4922,Burster Spectre,304
51574,Ripper Spectre,116
51574,Arachnophobica,100
51574,Gazer Spectre,72
51574,Burster Spectre,8
51722,Burster Spectre,229
51722,Arachnophobica,195
51722,Gazer Spectre,119
51722,Ripper Spectre,42
28101,Glooth Blob,137
28101,Rot Elemental,127
28101,Blood Beast,106
28101,Quara Predator Scout,85
28101,Quara Pincher Scout,77
28101,Quara Hydromancer Scout,74
28101,Devourer,72
28101,Quara Constrictor Scout,67
28915,Quara Pincher,493
28915,Quara Predator,421
28915,Quara Hydromancer,234
28915,Quara Constrictor,66
28915,Quara Mantassin,43
32843,Glooth Blob,281
32843,Rot Elemental,273
32843,Blood Beast,216
32843,Quara Predator Scout,178
32843,Devourer,158
32843,Quara Pincher Scout,157
32843,Quara Hydromancer Scout,142
32843,Quara Constrictor Scout,136
32843,Metal Gargoyle,2
45762,Quara Constrictor,169
45762,Quara Mantassin,163
45762,Quara Pincher,93
45762,Massive Water Elemental,91
45762,Quara Predator,90
45762,Quara Hydromancer,73
45875,Quara Raider,795
45875,Quara Looter,562
45875,Quara Plunderer,414
4611,Quara Raider,678
4611,Quara Looter,512
4611,Quara Plunderer,364
47999,Quara Raider,412
47999,Quara Looter,313
47999,Quara Plunderer,219
4839,Quara Raider,1545
4839,Quara Looter,1143
4839,Quara Plunderer,806
50905,Rot Elemental,209
50905,Glooth Blob,208
50905,Blood Beast,155
50905,Devourer,139
52823,Quara Mantassin Scout,19
52823,Quara Mantassin,19
52823,Quara Pincher Scout,18
52823,Quara Constrictor,16
52823,Quara Hydromancer,15
52823,Quara Predator Scout,14
52823,Quara Pincher,14
52823,Quara Constrictor Scout,12
52823,Quara Predator,6
52823,Quara Hydromancer Scout,6
53434,Rot Elemental,373
